path,class,scenario,capture_id,split
data/recordings/dooralarm/baseline_capture01.npy,dooralarm,baseline,01,train
data/recordings/lora/baseline_capture01.npy,lora,baseline,01,train
data/recordings/microphone/baseline_capture01.npy,microphone,baseline,01,train
data/recordings/mbus/baseline_capture01.npy,mbus,baseline,01,train
data/recordings/sigfox/baseline_capture01.npy,sigfox,baseline,01,train
data/recordings/miwi/baseline_capture01.npy,miwi,baseline,01,train
data/recordings/dooralarm/background_capture01.npy,dooralarm,background,01,validation
data/recordings/lora/background_capture01.npy,lora,background,01,validation
data/recordings/microphone/background_capture01.npy,microphone,background,01,validation
data/recordings/mbus/background_capture01.npy,mbus,background,01,validation
data/recordings/sigfox/background_capture01.npy,sigfox,background,01,validation
data/recordings/miwi/background_capture01.npy,miwi,background,01,validation
data/recordings/dooralarm/upstairs_capture01.npy,dooralarm,upstairs,01,test
data/recordings/lora/upstairs_capture01.npy,lora,upstairs,01,test
data/recordings/microphone/upstairs_capture01.npy,microphone,upstairs,01,test
data/recordings/mbus/upstairs_capture01.npy,mbus,upstairs,01,test
data/recordings/sigfox/upstairs_capture01.npy,sigfox,upstairs,01,test
data/recordings/miwi/upstairs_capture01.npy,miwi,upstairs,01,test
